Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Adrian Zatolak,326497343,16.062,T,79,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,-1,-1,3,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,24.05.2023 napastnik (90'),Polska,30.05.2023
Antoni Zarczynski,326497340,16.007,,79,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,-1,2.5,-1,-1,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,24.05.2023 pomocnik (90'),Polska,30.05.2023
Dariusz Musialik,326497348,16.037,,79,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Edmund Stas,326497346,17.033,,79,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Harald Wydra,326497347,16.026,,79,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Jakub Felmer,326497336,16.067,Q,79,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,4,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,24.05.2023 stoper (90'),Polska,30.05.2023
Kajetan Pawelka,326497337,16.065,,79,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,2,-1,-1,-1,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,24.05.2023 boczny_obronca (90'),Polska,30.05.2023
Konrad Kielkowski,326497335,16.022,,79,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,-1,-1,-1,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,24.05.2023 stoper (90'),Polska,30.05.2023
Leon Kaluzny,322198011,16.093,,60,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,2.5,-1,-1,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,24.05.2023 bramkarz (90'),Polska,30.05.2023
Michal Wiejak,326497338,16.027,,79,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,24.05.2023 skrzydlowy (90'),Polska,30.05.2023
